instrument_id,signal_name,value
CASH,f_sigma,1.0
CASH,gate_state,0.0
CASH,path_quality_g,1.0
CASH,raw_weight_component_f_sigma,1.0
CASH,raw_weight_component_gate,0.0
CASH,raw_weight_component_inv_sigma_eff,1.0
CASH,raw_weight_component_path_quality,1.0
CASH,raw_weight_component_risk_budget,1.0
CASH,raw_weight_component_trend,0.0
CASH,sigma_eff,1.0
CASH,T,0.0
CYCLE,f_sigma,0.9995837526682994
CYCLE,gate_state,0.0
CYCLE,path_quality_g,0.028489732580934533
CYCLE,raw_weight_component_f_sigma,0.9995837526682994
CYCLE,raw_weight_component_gate,0.0
CYCLE,raw_weight_component_inv_sigma_eff,4.512257850159761
CYCLE,raw_weight_component_path_quality,0.028489732580934533
CYCLE,raw_weight_component_risk_budget,1.0
CYCLE,raw_weight_component_trend,0.3791825856734043
CYCLE,sigma_eff,0.22161854069678086
CYCLE,T,0.3791825856734043
GOLD,f_sigma,0.9997827858501525
GOLD,gate_state,0.0
GOLD,path_quality_g,0.0
GOLD,raw_weight_component_f_sigma,0.9997827858501525
GOLD,raw_weight_component_gate,0.0
GOLD,raw_weight_component_inv_sigma_eff,6.387366658065359
GOLD,raw_weight_component_path_quality,0.0
GOLD,raw_weight_component_risk_budget,1.0
GOLD,raw_weight_component_trend,0.2523222835538881
GOLD,sigma_eff,0.15655904123451175
GOLD,T,0.2523222835538881
GROWTH,f_sigma,0.9980655251649261
GROWTH,gate_state,0.0
GROWTH,path_quality_g,0.026785141084985708
GROWTH,raw_weight_component_f_sigma,0.9980655251649261
GROWTH,raw_weight_component_gate,0.0
GROWTH,raw_weight_component_inv_sigma_eff,2.663813221236021
GROWTH,raw_weight_component_path_quality,0.026785141084985708
GROWTH,raw_weight_component_risk_budget,1.0
GROWTH,raw_weight_component_trend,0.49349577623288815
GROWTH,sigma_eff,0.3754016955948569
GROWTH,T,0.49349577623288815
RATE,f_sigma,0.9999493405934121
RATE,gate_state,0.0
RATE,path_quality_g,0.001074980116431283
RATE,rate_pref,0.5275983302938267
RATE,raw_weight_component_f_sigma,0.9999493405934121
RATE,raw_weight_component_gate,0.0
RATE,raw_weight_component_inv_sigma_eff,91.18676820927294
RATE,raw_weight_component_path_quality,0.001074980116431283
RATE,raw_weight_component_risk_budget,1.0
RATE,raw_weight_component_trend,0.055252818641826566
RATE,sigma_eff,0.010966503360498616
RATE,T,0.055252818641826566
VALUE,f_sigma,0.9996605613964029
VALUE,gate_state,1.0
VALUE,path_quality_g,0.30139288325007446
VALUE,raw_weight_component_f_sigma,0.9996605613964029
VALUE,raw_weight_component_gate,1.0
VALUE,raw_weight_component_inv_sigma_eff,4.96987750953613
VALUE,raw_weight_component_path_quality,0.30139288325007446
VALUE,raw_weight_component_risk_budget,1.0
VALUE,raw_weight_component_trend,0.5537478330771151
VALUE,sigma_eff,0.20121220253038716
VALUE,T,0.5537478330771151
